,additional_underlyings,cfi,contract_tye,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
0,,OCASPS,call,,american,2023-01-13,BATO,100,2.0,O:PLTR230113C00002000,PLTR
1,,OCASPS,call,,american,2023-01-13,BATO,100,2.5,O:PLTR230113C00002500,PLTR
2,,OCASPS,call,,american,2023-01-13,BATO,100,3.0,O:PLTR230113C00003000,PLTR
3,,OCASPS,call,,american,2023-01-13,BATO,100,3.5,O:PLTR230113C00003500,PLTR
4,,OCASPS,call,,american,2023-01-13,BATO,100,4.0,O:PLTR230113C00004000,PLTR
5,,OCASPS,call,,american,2023-01-13,BATO,100,4.5,O:PLTR230113C00004500,PLTR
6,,OCASPS,call,,american,2023-01-13,BATO,100,5.0,O:PLTR230113C00005000,PLTR
7,,OCASPS,call,,american,2023-01-13,BATO,100,5.5,O:PLTR230113C00005500,PLTR
8,,OCASPS,call,,american,2023-01-13,BATO,100,6.0,O:PLTR230113C00006000,PLTR
9,,OCASPS,call,,american,2023-01-13,BATO,100,6.5,O:PLTR230113C00006500,PLTR
10,,OCASPS,call,,american,2023-01-13,BATO,100,7.0,O:PLTR230113C00007000,PLTR
11,,OCASPS,call,,american,2023-01-13,BATO,100,7.5,O:PLTR230113C00007500,PLTR
12,,OCASPS,call,,american,2023-01-13,BATO,100,8.0,O:PLTR230113C00008000,PLTR
13,,OCASPS,call,,american,2023-01-13,BATO,100,8.5,O:PLTR230113C00008500,PLTR
14,,OCASPS,call,,american,2023-01-13,BATO,100,9.0,O:PLTR230113C00009000,PLTR
15,,OCASPS,call,,american,2023-01-13,BATO,100,9.5,O:PLTR230113C00009500,PLTR
16,,OCASPS,call,,american,2023-01-13,BATO,100,10.0,O:PLTR230113C00010000,PLTR
17,,OCASPS,call,,american,2023-01-13,BATO,100,10.5,O:PLTR230113C00010500,PLTR
18,,OCASPS,call,,american,2023-01-13,BATO,100,11.0,O:PLTR230113C00011000,PLTR
19,,OCASPS,call,,american,2023-01-13,BATO,100,11.5,O:PLTR230113C00011500,PLTR
20,,OCASPS,call,,american,2023-01-13,BATO,100,12.0,O:PLTR230113C00012000,PLTR
21,,OCASPS,call,,american,2023-01-13,BATO,100,12.5,O:PLTR230113C00012500,PLTR
22,,OCASPS,call,,american,2023-01-13,BATO,100,13.0,O:PLTR230113C00013000,PLTR
23,,OCASPS,call,,american,2023-01-13,BATO,100,14.0,O:PLTR230113C00014000,PLTR
24,,OCASPS,call,,american,2023-01-20,BATO,100,1.0,O:PLTR230120C00001000,PLTR
25,,OCASPS,call,,american,2023-01-20,BATO,100,2.0,O:PLTR230120C00002000,PLTR
26,,OCASPS,call,,american,2023-01-20,BATO,100,2.5,O:PLTR230120C00002500,PLTR
27,,OCASPS,call,,american,2023-01-20,BATO,100,3.0,O:PLTR230120C00003000,PLTR
28,,OCASPS,call,,american,2023-01-20,BATO,100,3.5,O:PLTR230120C00003500,PLTR
29,,OCASPS,call,,american,2023-01-20,BATO,100,4.0,O:PLTR230120C00004000,PLTR
30,,OCASPS,call,,american,2023-01-20,BATO,100,4.5,O:PLTR230120C00004500,PLTR
31,,OCASPS,call,,american,2023-01-20,BATO,100,5.0,O:PLTR230120C00005000,PLTR
32,,OCASPS,call,,american,2023-01-20,BATO,100,5.5,O:PLTR230120C00005500,PLTR
33,,OCASPS,call,,american,2023-01-20,BATO,100,6.0,O:PLTR230120C00006000,PLTR
34,,OCASPS,call,,american,2023-01-20,BATO,100,6.5,O:PLTR230120C00006500,PLTR
35,,OCASPS,call,,american,2023-01-20,BATO,100,7.0,O:PLTR230120C00007000,PLTR
36,,OCASPS,call,,american,2023-01-20,BATO,100,7.5,O:PLTR230120C00007500,PLTR
37,,OCASPS,call,,american,2023-01-20,BATO,100,8.0,O:PLTR230120C00008000,PLTR
38,,OCASPS,call,,american,2023-01-20,BATO,100,8.5,O:PLTR230120C00008500,PLTR
39,,OCASPS,call,,american,2023-01-20,BATO,100,9.0,O:PLTR230120C00009000,PLTR
40,,OCASPS,call,,american,2023-01-20,BATO,100,9.5,O:PLTR230120C00009500,PLTR
41,,OCASPS,call,,american,2023-01-20,BATO,100,10.0,O:PLTR230120C00010000,PLTR
42,,OCASPS,call,,american,2023-01-20,BATO,100,10.5,O:PLTR230120C00010500,PLTR
43,,OCASPS,call,,american,2023-01-20,BATO,100,11.0,O:PLTR230120C00011000,PLTR
44,,OCASPS,call,,american,2023-01-20,BATO,100,11.5,O:PLTR230120C00011500,PLTR
45,,OCASPS,call,,american,2023-01-20,BATO,100,12.0,O:PLTR230120C00012000,PLTR
46,,OCASPS,call,,american,2023-01-20,BATO,100,12.5,O:PLTR230120C00012500,PLTR
47,,OCASPS,call,,american,2023-01-20,BATO,100,13.0,O:PLTR230120C00013000,PLTR
48,,OCASPS,call,,american,2023-01-20,BATO,100,14.0,O:PLTR230120C00014000,PLTR
49,,OCASPS,call,,american,2023-01-20,BATO,100,15.0,O:PLTR230120C00015000,PLTR
50,,OCASPS,call,,american,2023-01-20,BATO,100,16.0,O:PLTR230120C00016000,PLTR
51,,OCASPS,call,,american,2023-01-20,BATO,100,17.5,O:PLTR230120C00017500,PLTR
52,,OCASPS,call,,american,2023-01-20,BATO,100,20.0,O:PLTR230120C00020000,PLTR
53,,OCASPS,call,,american,2023-01-20,BATO,100,22.0,O:PLTR230120C00022000,PLTR
54,,OCASPS,call,,american,2023-01-20,BATO,100,25.0,O:PLTR230120C00025000,PLTR
55,,OCASPS,call,,american,2023-01-20,BATO,100,27.0,O:PLTR230120C00027000,PLTR
56,,OCASPS,call,,american,2023-01-20,BATO,100,30.0,O:PLTR230120C00030000,PLTR
57,,OCASPS,call,,american,2023-01-20,BATO,100,32.0,O:PLTR230120C00032000,PLTR
58,,OCASPS,call,,american,2023-01-20,BATO,100,35.0,O:PLTR230120C00035000,PLTR
59,,OCASPS,call,,american,2023-01-20,BATO,100,37.0,O:PLTR230120C00037000,PLTR
60,,OCASPS,call,,american,2023-01-20,BATO,100,40.0,O:PLTR230120C00040000,PLTR
61,,OCASPS,call,,american,2023-01-20,BATO,100,42.0,O:PLTR230120C00042000,PLTR
62,,OCASPS,call,,american,2023-01-20,BATO,100,45.0,O:PLTR230120C00045000,PLTR
63,,OCASPS,call,,american,2023-01-20,BATO,100,47.0,O:PLTR230120C00047000,PLTR
64,,OCASPS,call,,american,2023-01-20,BATO,100,50.0,O:PLTR230120C00050000,PLTR
65,,OCASPS,call,,american,2023-01-20,BATO,100,55.0,O:PLTR230120C00055000,PLTR
66,,OCASPS,call,,american,2023-01-20,BATO,100,60.0,O:PLTR230120C00060000,PLTR
67,,OCASPS,call,,american,2023-01-20,BATO,100,65.0,O:PLTR230120C00065000,PLTR
68,,OCASPS,call,,american,2023-01-27,BATO,100,1.0,O:PLTR230127C00001000,PLTR
69,,OCASPS,call,,american,2023-01-27,BATO,100,2.0,O:PLTR230127C00002000,PLTR
70,,OCASPS,call,,american,2023-01-27,BATO,100,2.5,O:PLTR230127C00002500,PLTR
71,,OCASPS,call,,american,2023-01-27,BATO,100,3.0,O:PLTR230127C00003000,PLTR
72,,OCASPS,call,,american,2023-01-27,BATO,100,3.5,O:PLTR230127C00003500,PLTR
73,,OCASPS,call,,american,2023-01-27,BATO,100,4.0,O:PLTR230127C00004000,PLTR
74,,OCASPS,call,,american,2023-01-27,BATO,100,4.5,O:PLTR230127C00004500,PLTR
75,,OCASPS,call,,american,2023-01-27,BATO,100,5.0,O:PLTR230127C00005000,PLTR
76,,OCASPS,call,,american,2023-01-27,BATO,100,5.5,O:PLTR230127C00005500,PLTR
77,,OCASPS,call,,american,2023-01-27,BATO,100,6.0,O:PLTR230127C00006000,PLTR
78,,OCASPS,call,,american,2023-01-27,BATO,100,6.5,O:PLTR230127C00006500,PLTR
79,,OCASPS,call,,american,2023-01-27,BATO,100,7.0,O:PLTR230127C00007000,PLTR
80,,OCASPS,call,,american,2023-01-27,BATO,100,7.5,O:PLTR230127C00007500,PLTR
81,,OCASPS,call,,american,2023-01-27,BATO,100,8.0,O:PLTR230127C00008000,PLTR
82,,OCASPS,call,,american,2023-01-27,BATO,100,8.5,O:PLTR230127C00008500,PLTR
83,,OCASPS,call,,american,2023-01-27,BATO,100,9.0,O:PLTR230127C00009000,PLTR
84,,OCASPS,call,,american,2023-01-27,BATO,100,9.5,O:PLTR230127C00009500,PLTR
85,,OCASPS,call,,american,2023-01-27,BATO,100,10.0,O:PLTR230127C00010000,PLTR
86,,OCASPS,call,,american,2023-01-27,BATO,100,10.5,O:PLTR230127C00010500,PLTR
87,,OCASPS,call,,american,2023-01-27,BATO,100,11.0,O:PLTR230127C00011000,PLTR
88,,OCASPS,call,,american,2023-01-27,BATO,100,11.5,O:PLTR230127C00011500,PLTR
89,,OCASPS,call,,american,2023-01-27,BATO,100,12.0,O:PLTR230127C00012000,PLTR
90,,OCASPS,call,,american,2023-01-27,BATO,100,12.5,O:PLTR230127C00012500,PLTR
91,,OCASPS,call,,american,2023-01-27,BATO,100,13.0,O:PLTR230127C00013000,PLTR
92,,OCASPS,call,,american,2023-01-27,BATO,100,14.0,O:PLTR230127C00014000,PLTR
93,,OCASPS,call,,american,2023-02-03,BATO,100,2.5,O:PLTR230203C00002500,PLTR
94,,OCASPS,call,,american,2023-02-03,BATO,100,3.0,O:PLTR230203C00003000,PLTR
95,,OCASPS,call,,american,2023-02-03,BATO,100,3.5,O:PLTR230203C00003500,PLTR
96,,OCASPS,call,,american,2023-02-03,BATO,100,4.0,O:PLTR230203C00004000,PLTR
97,,OCASPS,call,,american,2023-02-03,BATO,100,4.5,O:PLTR230203C00004500,PLTR
98,,OCASPS,call,,american,2023-02-03,BATO,100,5.0,O:PLTR230203C00005000,PLTR
